DateTime,Max/Min,State,Fuel Type,Supply
02/12/2019 12:30,Max,NEM,Gas,569.273
02/12/2019 12:30,Max,NEM,Hydro,837.859
02/12/2019 12:30,Max,NEM,Liquid Fuel,0.019
02/12/2019 12:30,Max,NEM,Utility-scale Solar,2066.86
02/12/2019 12:30,Max,NEM,Wind,4157.045
29/12/2019 04:00,Min,NEM,Battery,2.109
29/12/2019 04:00,Min,NEM,Biomass,11.716
29/12/2019 04:00,Min,NEM,Black coal,11592.311
29/12/2019 04:00,Min,NEM,Brown coal,4137.016
29/12/2019 04:00,Min,NEM,Distributed PV,0
29/12/2019 04:00,Min,NEM,Gas,1107.05
29/12/2019 04:00,Min,NEM,Hydro,612.237
29/12/2019 04:00,Min,NEM,Liquid Fuel,0.24
29/12/2019 04:00,Min,NEM,Utility-scale Solar,0.693
29/12/2019 04:00,Min,NEM,Wind,617.56
01/01/2020 11:30,Max,NEM,Battery,11.511
01/01/2020 11:30,Max,NEM,Biomass,22.183
01/01/2020 11:30,Max,NEM,Black coal,9648.646
01/01/2020 11:30,Max,NEM,Brown coal,3652.171
01/01/2020 11:30,Max,NEM,Distributed PV,5980.972
01/01/2020 11:30,Max,NEM,Gas,658.689
01/01/2020 11:30,Max,NEM,Hydro,507.277
01/01/2020 11:30,Max,NEM,Liquid Fuel,0.243
01/01/2020 11:30,Max,NEM,Utility-scale Solar,2255.384
01/01/2020 11:30,Max,NEM,Wind,951.594
26/01/2020 05:30,Min,NEM,Battery,2.928
